ID,Name,Description,Abstraction,Likelihood Of Attack,Status,Redundant_Of_Category,Binary_Noisy,Typical Severity,Sparse_Field,Mostly_Missing,High_Cardinality_Code,Uniform_Random_Text,description_length_chars
49,Fake Overflow B8,Caso ficticio generado para evaluar una configuración de prueba insegura sin relación con vulnerabilidades reales.,Alpha,Dominant,Standard,Alpha,TRUE,Critical,,,89HNUWWX,oktkznpaet,114
1182,Demo Spoofing F11,Este registro de prueba describe un mecanismo de autenticación simulado generado aleatoriamente para pruebas de entropía.,Beta,Dominant,Standard,Beta,TRUE,Critical,,,4EI2OIB6,vwgwkxsmxv,121
485,Trial Hijack B2,Caso ficticio generado para evaluar un mecanismo de autenticación simulado con fines exclusivamente de validación del modelo.,Beta,Dominant,Standard,Beta,FALSE,High,,,77CTHBY6,raepvjeeki,125
930,Generic Compromise F6,Caso ficticio generado para evaluar una condición de entrada no controlada con fines exclusivamente de validación del modelo.,Alpha,Dominant,Standard,Alpha,FALSE,,,,AU13IMLY,adexdnnkol,125
678,Synthetic Exploit A10,Este registro de prueba describe un mecanismo de autenticación simulado sin relación con vulnerabilidades reales.,Delta,Dominant,Standard,Delta,TRUE,High,,,YC7VWKAG,rqfrkwskxs,113
402,Mock Injection C9,Este registro de prueba describe una dependencia simulada sin parches generado aleatoriamente para pruebas de entropía.,Gamma,Dominant,Standard,Gamma,FALSE,High,,,KII1UBDB,rnvrasjrpb,119
636,Sample Bypass F14,Caso ficticio generado para evaluar un componente de red ficticio como parte de un conjunto de datos sintético.,Delta,Dominant,Standard,Delta,FALSE,Medium,,,BWZGSFH4,hmjcagwdwk,111
377,Dummy Breach E11,Caso ficticio generado para evaluar un mecanismo de autenticación simulado con fines exclusivamente de validación del modelo.,Gamma,Dominant,Standard,Gamma,FALSE,High,,,7N4QUS2G,agmirmzsnu,125
728,Demo Spoofing B5,Este registro de prueba describe una configuración de prueba insegura como parte de un conjunto de datos sintético.,Alpha,Dominant,Standard,Alpha,FALSE,Critical,,,6AEOZJWQ,vcykkiwrak,115
449,Dummy Breach B16,El escenario sintético representa una condición de entrada no controlada generado aleatoriamente para pruebas de entropía.,Beta,Dominant,Standard,Beta,FALSE,High,Evento raro C,,VZBSL7E3,ucewcjdnuj,122
428,Generic Compromise B2,Caso ficticio generado para evaluar una condición de entrada no controlada como parte de un conjunto de datos sintético.,Delta,Dominant,Standard,Delta,FALSE,Low,,,M30HKXGC,buknxhpwin,120
418,Synthetic Exploit E3,Este registro de prueba describe un mecanismo de autenticación simulado con fines exclusivamente de validación del modelo.,Alpha,Dominant,Standard,Alpha,FALSE,Low,,,48X80XXO,dzkxvfkwdm,122
1143,Demo Spoofing B13,Se simula la explotación de una dependencia simulada sin parches como parte de un conjunto de datos sintético.,Alpha,Dominant,Standard,Alpha,TRUE,Low,,,GCWR4W7N,vupsrjtyqo,110
540,Fake Overflow E13,Se simula la explotación de un mecanismo de autenticación simulado como parte de un conjunto de datos sintético.,Gamma,Dominant,Standard,Gamma,TRUE,Medium,,,UIFU63JN,sbtjmxblwx,112
