Columna,Distribución,k,H(X),Hn(X),C(X),U(X),1-U(X),EIAC,Relevancia,Clasificación funcional,Análisis,Datos faltantes,Valor más frecuente,Frecuencia valor más frecuente,Total observado
Abstraction,Detailed = 341; Standard = 197; Meta = 77,3,1.373168,0.866373,1.0,0.004878,0.995122,0.862146,Alta relevancia,Analítica,Alta relevancia informativa; columna analítica para comparar registros.,0,Detailed,341,615
consequences_scope_count,0 = 246; 1 = 109; 4 = 73; 3 = 45; ... + 8 valores,12,2.72394,0.759824,1.0,0.019512,0.980488,0.744998,Alta relevancia,Analítica complementaria,Alta relevancia informativa; columna analítica complementaria.,0,0,246,615
consequences_impact_count,0 = 247; 1 = 140; 3 = 96; 2 = 53; ... + 5 valores,9,2.296983,0.724618,1.0,0.014634,0.985366,0.714013,Alta relevancia,Analítica complementaria,Alta relevancia informativa; columna analítica complementaria.,0,0,247,615
mitigations_count,0 = 215; 1 = 131; 2 = 96; 3 = 62; ... + 9 valores,13,2.675317,0.722973,1.0,0.021138,0.978862,0.70769,Alta relevancia,Analítica complementaria,Alta relevancia informativa; columna analítica complementaria.,0,0,215,615
skills_required_count,0 = 319; 1 = 207; 2 = 72; 3 = 16; ... + 1 valores,5,1.534295,0.660785,1.0,0.00813,0.99187,0.655412,Relevancia media,Analítica complementaria,Relevancia informativa media; columna analítica complementaria.,0,0,319,615
prerequisites_count,1 = 330; 0 = 125; 2 = 95; 3 = 39; ... + 3 valores,7,1.846369,0.65769,1.0,0.011382,0.988618,0.650204,Relevancia media,Analítica complementaria,Relevancia informativa media; columna analítica complementaria.,0,1,330,615
Typical Severity,High = 211; Medium = 112; Low = 104; Very High = 59; ... + 1 valores,5,1.909092,0.822201,0.796748,0.00813,0.99187,0.649761,Relevancia media,Analítica,Relevancia informativa media; columna analítica para comparar registros.,125,High,211,490
related_weaknesses_count,1 = 255; 0 = 165; 2 = 56; 3 = 37; ... + 12 valores,16,2.543965,0.635991,1.0,0.026016,0.973984,0.619445,Relevancia media,Analítica complementaria,Relevancia informativa media; columna analítica complementaria.,0,1,255,615
example_instances_count,0 = 346; 1 = 174; 2 = 76; 3 = 12; ... + 2 valores,6,1.546027,0.598085,1.0,0.009756,0.990244,0.59225,Relevancia media,Analítica complementaria,Relevancia informativa media; columna analítica complementaria.,0,0,346,615
resources_required_count,0 = 343; 1 = 258; 2 = 10; 3 = 4,4,1.139428,0.569714,1.0,0.006504,0.993496,0.566008,Relevancia media,Analítica complementaria,Relevancia informativa media; columna analítica complementaria.,0,0,343,615
execution_flow_steps_count,0 = 376; 3 = 102; 4 = 85; 2 = 30; ... + 4 valores,8,1.702651,0.56755,1.0,0.013008,0.986992,0.560168,Relevancia media,Analítica complementaria,Relevancia informativa media; columna analítica complementaria.,0,0,376,615
Likelihood Of Attack,High = 131; Medium = 118; Low = 96,3,1.57339,0.992698,0.560976,0.004878,0.995122,0.554163,Relevancia media,Analítica,Relevancia informativa media; columna analítica para comparar registros.,270,High,131,345
Status,Draft = 402; Stable = 154; Deprecated = 56; Usable = 2; ... + 1 valores,5,1.257906,0.541751,1.0,0.00813,0.99187,0.537346,Relevancia media,Analítica,Relevancia informativa media; columna analítica para comparar registros.,0,Draft,402,615
related_attack_patterns_count,1 = 398; 0 = 109; 2 = 58; 3 = 27; ... + 5 valores,9,1.624649,0.51252,1.0,0.014634,0.985366,0.50502,Relevancia media,Analítica complementaria,Relevancia informativa media; columna analítica complementaria.,0,1,398,615
Related Attack Patterns,::NATURE:ChildOf:CAPEC ID:312:: = 16; ::NATURE:ChildOf:CAPEC ID:444:: = 14; ::NATURE:ChildOf:CAPEC ID:169:: = 12; ::NATURE:ChildOf:CAPEC ID:267:: = 11; ... + 208 valores,212,7.235698,0.936306,0.822764,0.344715,0.655285,0.504804,Relevancia media,Analítica complementaria,Relevancia informativa media; columna analítica complementaria.,109,::NATURE:ChildOf:CAPEC ID:312::,16,506
execution_flow_techniques_count,0 = 414; 3 = 30; 5 = 26; 6 = 25; ... + 13 valores,17,2.058751,0.503675,1.0,0.027642,0.972358,0.489752,Relevancia media,Analítica complementaria,Relevancia informativa media; columna analítica complementaria.,0,0,414,615
taxonomy_mappings_count,0 = 392; 1 = 149; 2 = 46; 3 = 16; ... + 4 valores,8,1.470994,0.490331,1.0,0.013008,0.986992,0.483953,Relevancia media,Analítica complementaria,Relevancia informativa media; columna analítica complementaria.,0,0,392,615
Related Weaknesses,::200:: = 51; ::284:: = 15; ::770:: = 10; ::829:: = 9; ... + 266 valores,270,7.343527,0.909211,0.731707,0.439024,0.560976,0.373204,Relevancia media,Analítica complementaria,Relevancia informativa media; columna analítica complementaria.,165,::200::,51,450
Consequences,::SCOPE:Confidentiality:TECHNICAL IMPACT:Read Data:: = 25; ::SCOPE:Confidentiality:TECHNICAL IMPACT:Other::SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Bypass Protection Mechanism:TECHNICAL IMPACT:Hide Activities:: = 18; ::SCOPE:Confidentiality:TECHNICAL IMPACT:Read Data::SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Bypass Protection Mechanism:TECHNICAL IMPACT:Hide Activities:: = 15; ::SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Gain Privileges:: = 11; ... + 216 valores,220,7.16763,0.921128,0.6,0.357724,0.642276,0.354971,Relevancia media,Analítica complementaria,Relevancia informativa media; columna analítica complementaria.,246,::SCOPE:Confidentiality:TECHNICAL IMPACT:Read Data::,25,369
description_length_chars,156 = 7; 174 = 6; 258 = 6; 40 = 6; ... + 419 valores,423,8.536137,0.978408,1.0,0.687805,0.312195,0.305454,Baja relevancia,Candidata a limpieza o revisión,Baja relevancia informativa; candidata a limpieza o revisión.,0,156,7,615
Skills Required,"::SKILL:The adversary requires strong inter-personal and communication skills.:LEVEL:Low:: = 11; ::SKILL:Detailed knowledge on HTTP protocol: request and response messages structure and usage of specific headers.:LEVEL:Medium::SKILL:Detailed knowledge on how specific HTTP agents receive, send, process, interpret, and parse a variety of HTTP messages and headers.:LEVEL:Medium::SKILL:Possess knowledge on the exact details in the discrepancies between several targeted HTTP agents in path of an HTTP message in parsing its message structure and individual headers.:LEVEL:Medium:: = 4; ::SKILL:To identify and execute against an over-privileged system interface:LEVEL:Low:: = 4; ::SKILL:An adversary can simply overflow a buffer by inserting a long string into an adversary-modifiable injection vector. The result can be a DoS.:LEVEL:Low::SKILL:Exploiting a buffer overflow to inject malicious code into the stack of a software system or even the heap can require a higher skill level.:LEVEL:High:: = 4; ... + 258 valores",262,7.889154,0.982041,0.481301,0.426016,0.573984,0.271298,Baja relevancia,Bajo aporte por datos faltantes,Baja relevancia informativa; requiere revisión por datos faltantes.,319,::SKILL:The adversary requires strong inter-personal and communication skills.:LEVEL:Low::,11,296
Resources Required,"::None: No specialized resources are required to execute this type of attack.:: = 54; ::A tool capable of sending and receiving packets from a remote system.:: = 7; ::Scanners or utilities that provide the ability to send custom ICMP queries.:: = 3; ::Any type of active probing that involves non-standard packet headers requires the use of raw sockets, which is not available on particular operating systems (Microsoft Windows XP SP 2, for example). Raw socket manipulation on Unix/Linux requires root privileges. A tool capable of sending and receiving packets from a remote system.:: = 3; ... + 196 valores",200,6.771561,0.885883,0.442276,0.325203,0.674797,0.264389,Baja relevancia,Bajo aporte por datos faltantes,Baja relevancia informativa; requiere revisión por datos faltantes.,343,::None: No specialized resources are required to execute this type of attack.::,54,272
Mitigations,"::An organization should provide regular, robust cybersecurity training to its employees to prevent social engineering attacks.:: = 8; ::Design: evaluate HTTP agents prior to deployment for parsing/interpretation discrepancies.::Configuration: front-end HTTP agents notice ambiguous requests.::Configuration: back-end HTTP agents reject ambiguous requests and close the network connection.::Configuration: Disable reuse of back-end connections.::Configuration: Use HTTP/2 for back-end connections.::Configuration: Use the same web server software for front-end and back-end server.::Implementation: Utilize a Web Application Firewall (WAF) that has built-in mitigation to detect abnormal requests/responses.::Configuration: Install latest vendor security patches available for both intermediary and back-end HTTP infrastructure (i.e. proxies and web servers)::Configuration: Ensure that HTTP infrastructure in the chain or network path utilize a strict uniform parsing process.::Implementation: Utilize intermediary HTTP infrastructure capable of filtering and/or sanitizing user-input.:: = 2; ::Assume all input is malicious. Create an allowlist that defines all valid input to the software system based on the requirements specifications. Input that does not match against the allowlist should not be permitted to enter into the system. Test your decoding process against malicious input.::Be aware of the threat of alternative method of data encoding and obfuscation technique such as IP address encoding.::When client input is required from web-based forms, avoid using the GET method to submit data, as the method causes the form data to be appended to the URL and is easily manipulated. Instead, use the POST method whenever possible.::Any security checks should occur after the data has been decoded and validated as correct data format. Do not repeat decoding process, if bad character are left after decoding process, treat the data as suspicious, and fail the validation process.::Refer to the RFCs to safely decode URL.::Regular expression can be used to match safe URL patterns. However, that may discard valid URL requests if the regular expression is too restrictive.::There are tools to scan HTTP requests to the server for valid URL such as URLScan from Microsoft (http://www.microsoft.com/technet/security/tools/urlscan.mspx).:: = 2; ::Design: Build throttling mechanism into the resource allocation. Provide for a timeout mechanism for allocated resources whose transaction does not complete within a specified interval.::Implementation: Provide for network flow control and traffic shaping to control access to the resources.:: = 2; ... + 372 valores",376,8.498856,0.993485,0.650407,0.611382,0.388618,0.251113,Baja relevancia,Candidata a limpieza o revisión,Baja relevancia informativa; candidata a limpieza o revisión.,215,"::An organization should provide regular, robust cybersecurity training to its employees to prevent social engineering attacks.::",8,400
Example Instances,"::The attacker uses relative path traversal to access files in the application. This is an example of accessing user's password file. http://www.example.com/getProfile.jsp?filename=../../../../etc/passwd However, the target application employs regular expressions to make sure no relative path sequences are being passed through the application to the web page. The application would replace all matches from this regex with the empty string. Then an attacker creates special payloads to bypass this filter: http://www.example.com/getProfile.jsp?filename=%2e%2e/%2e%2e/%2e%2e/%2e%2e /etc/passwd When the application gets this input string, it will be the desired vector by the attacker.:: = 2; ::Consider the case of attack performed against the createCustomerBillingAccount Web Service for an online store. In this case, the createCustomerBillingAccount Web Service receives a huge number of simultaneous requests, containing nonsense billing account creation information (the small XML messages). The createCustomerBillingAccount Web Services may forward the messages to other Web Services for processing. The application suffers from a high load of requests, potentially leading to a complete loss of availability the involved Web Service.:: = 2; ::Consider an application that uses an XML database to authenticate its users. The application retrieves the user name and password from a request and forms an XPath expression to query the database. An attacker can successfully bypass authentication and login without valid credentials through XPath Injection. This can be achieved by injecting the query to the XML database with XPath syntax that causes the authentication check to fail. Improper validation of user-controllable input and use of a non-parameterized XPath expression enable the attacker to inject an XPath expression that causes authentication bypass.:: = 2; ::Implementing the Model-View-Controller (MVC) within Java EE's Servlet paradigm using a Single front controller pattern that demands that brokered HTTP requests be authenticated before hand-offs to other Action Servlets. If no security-constraint is placed on those Action Servlets, such that positively no one can access them, the front controller can be subverted.:: = 1; ... + 262 valores",266,8.049158,0.99924,0.437398,0.43252,0.56748,0.248026,Baja relevancia,Bajo aporte por datos faltantes,Baja relevancia informativa; requiere revisión por datos faltantes.,346,::The attacker uses relative path traversal to access files in the application. This is an example of accessing user's password file. http://www.example.com/getProfile.jsp?filename=../../../../etc/pas,2,269
indicators_count,0 = 559; 1 = 36; 3 = 8; 2 = 8; ... + 1 valores,5,0.575101,0.247683,1.0,0.00813,0.99187,0.245669,Baja relevancia,Bajo aporte por baja variabilidad,Baja relevancia informativa; bajo aporte por baja variabilidad.,0,0,559,615
Taxonomy Mappings,TAXONOMY NAME:ATTACK:ENTRY ID:1195.003:ENTRY NAME:Supply Chain Compromise: Compromise Hardware Supply Chain:: = 10; TAXONOMY NAME:ATTACK:ENTRY ID:1195.002:ENTRY NAME:Supply Chain Compromise: Compromise Software Supply Chain:: = 5; TAXONOMY NAME:ATTACK:ENTRY ID:1548:ENTRY NAME:Abuse Elevation Control Mechanism:: = 4; TAXONOMY NAME:ATTACK:ENTRY ID:1082:ENTRY NAME:System Information Discovery:: = 3; ... + 187 valores,191,7.410346,0.97795,0.362602,0.310569,0.689431,0.244476,Baja relevancia,Bajo aporte por datos faltantes,Baja relevancia informativa; requiere revisión por datos faltantes.,392,TAXONOMY NAME:ATTACK:ENTRY ID:1195.003:ENTRY NAME:Supply Chain Compromise: Compromise Hardware Supply Chain::,10,223
