Attack_ID,Attack_Name,Attack_Description,Category_Balanced,Category_Skewed,Constant_Flag,Redundant_Of_Category,Binary_Noisy,Risk_Score_Bucket,Sparse_Field,Mostly_Missing,High_Cardinality_Code,Uniform_Random_Text
49,Fake Overflow B8,Caso ficticio generado para evaluar una configuración de prueba insegura sin relación con vulnerabilidades reales.,Alpha,Dominant,Standard,Alpha,TRUE,Critical,,,89HNUWWX,oktkznpaet
1182,Demo Spoofing F11,Este registro de prueba describe un mecanismo de autenticación simulado generado aleatoriamente para pruebas de entropía.,Beta,Dominant,Standard,Beta,true,Critical,,,4EI2OIB6,vwgwkxsmxv
485,Trial Hijack B2,Caso ficticio generado para evaluar un mecanismo de autenticación simulado con fines exclusivamente de validación del modelo.,Beta,Dominant,Standard,Beta,False,High,,,77CTHBY6,raepvjeeki
930,Generic Compromise F6,Caso ficticio generado para evaluar una condición de entrada no controlada con fines exclusivamente de validación del modelo.,Alpha,Dominant,Standard,Alpha,False ,,,,AU13IMLY,adexdnnkol
678,Synthetic Exploit A10,Este registro de prueba describe un mecanismo de autenticación simulado sin relación con vulnerabilidades reales.,Delta,Dominant,Standard,Delta,True ,High,,,YC7VWKAG,rqfrkwskxs
402,Mock Injection C9,Este registro de prueba describe una dependencia simulada sin parches generado aleatoriamente para pruebas de entropía.,Gamma,Dominant,Standard,Gamma,false,High,,,KII1UBDB,rnvrasjrpb
636,Sample Bypass F14,Caso ficticio generado para evaluar un componente de red ficticio como parte de un conjunto de datos sintético.,Delta,Dominant,Standard,Delta,False ,Medium,,,BWZGSFH4,hmjcagwdwk
377,Dummy Breach E11,Caso ficticio generado para evaluar un mecanismo de autenticación simulado con fines exclusivamente de validación del modelo.,Gamma,Dominant,Standard,Gamma,false,High,,,7N4QUS2G,agmirmzsnu
728,Demo Spoofing B5,Este registro de prueba describe una configuración de prueba insegura como parte de un conjunto de datos sintético.,Alpha,Dominant,Standard,Alpha,false,Critical,,,6AEOZJWQ,vcykkiwrak
449,Dummy Breach B16,El escenario sintético representa una condición de entrada no controlada generado aleatoriamente para pruebas de entropía.,Beta,Dominant,Standard,Beta, False,High,Evento raro C,,VZBSL7E3,ucewcjdnuj
428,Generic Compromise B2,Caso ficticio generado para evaluar una condición de entrada no controlada como parte de un conjunto de datos sintético.,Delta,Dominant,Standard,Delta, False,Low,,,M30HKXGC,buknxhpwin
418,Synthetic Exploit E3,Este registro de prueba describe un mecanismo de autenticación simulado con fines exclusivamente de validación del modelo.,Alpha,Dominant,Standard,Alpha,FALSE,Low,,,48X80XXO,dzkxvfkwdm
1143,Demo Spoofing B13,Se simula la explotación de una dependencia simulada sin parches como parte de un conjunto de datos sintético.,Alpha,Dominant,Standard,Alpha, True,Low,,,GCWR4W7N,vupsrjtyqo
540,Fake Overflow E13,Se simula la explotación de un mecanismo de autenticación simulado como parte de un conjunto de datos sintético.,Gamma,Dominant,Standard,Gamma,true,Medium,,,UIFU63JN,sbtjmxblwx
1050,Placeholder Attack B3,Caso ficticio generado para evaluar un mecanismo de autenticación simulado generado aleatoriamente para pruebas de entropía.,Beta,Dominant,Standard,Beta,true,Critical,,,J9DIUV67,ptzuhxgzpr
103,Dummy Breach D15,Este registro de prueba describe una dependencia simulada sin parches sin relación con vulnerabilidades reales.,Beta,Dominant,Standard,Beta,True,,,,MPY7SSBP,fclqbqkvsw
369,Fake Overflow F6,El escenario sintético representa un componente de red ficticio con fines exclusivamente de validación del modelo.,Alpha,Dominant,Standard,Alpha,false,Critical,,,BQZSC82W,ofankqzjwe
3,Dummy Breach E4,El escenario sintético representa una condición de entrada no controlada con fines exclusivamente de validación del modelo.,Beta,Dominant,Standard,Beta, False,High,,,5EDZ2RZE,arddekkdoa
863,Demo Spoofing C19,Caso ficticio generado para evaluar una configuración de prueba insegura sin relación con vulnerabilidades reales.,Alpha,Dominant,Standard,Beta,True ,Critical,,,RE9NFQO5,fvmecqualu
122,Dummy Breach B13,El escenario sintético representa una condición de entrada no controlada generado aleatoriamente para pruebas de entropía.,Gamma,Dominant,Standard,Gamma, True,Critical,,,PAV979ON,hajigvrhup
847,Fake Overflow F11,Caso ficticio generado para evaluar un mecanismo de autenticación simulado con fines exclusivamente de validación del modelo.,Alpha,Dominant,Standard,Alpha,False ,Low,,,GRDJYIU8,qkpmfuaafw
1104,Mock Injection E13,Se simula la explotación de un mecanismo de autenticación simulado generado aleatoriamente para pruebas de entropía.,Gamma,Dominant,Standard,Gamma,true,,,,BHE3EYZN,gvmicustjl
1102,Test Escalation D5,Este registro de prueba describe un componente de red ficticio sin relación con vulnerabilidades reales.,Gamma,Dominant,Standard,Gamma,True,Low,,,YYWJKZY9,iajvezbaao
156,Generic Compromise F15-1,El escenario sintético representa una condición de entrada no controlada con fines exclusivamente de validación del modelo.,Gamma,Rare2,Standard,Gamma, False,Low,,,7RFUS1XM,xwjlzhycsd
865,Generic Compromise B12,Caso ficticio generado para evaluar un mecanismo de autenticación simulado generado aleatoriamente para pruebas de entropía.,Gamma,Dominant,Standard,Gamma,true,Medium,,,VK5Q77GV,tmflmxemgc
990,Generic Compromise B4,Este registro de prueba describe una dependencia simulada sin parches como parte de un conjunto de datos sintético.,Beta,Dominant,Standard,Beta, False,Low,,,DVAPUVHE,uvgnedqeno
1145,Dummy Breach C12,El escenario sintético representa una configuración de prueba insegura generado aleatoriamente para pruebas de entropía.,Gamma,Dominant,Standard,Gamma,True,Medium,,,B9PZ6Q4I,fyqcalzhql
649,Placeholder Attack D6,Caso ficticio generado para evaluar una configuración de prueba insegura con fines exclusivamente de validación del modelo.,Delta,Dominant,Standard,Delta,True,,,,Z8BN5KUE,ygqamgdykh
414,Trial Hijack D6,Se simula la explotación de una dependencia simulada sin parches generado aleatoriamente para pruebas de entropía.,Delta,Dominant,Standard,Delta,TRUE,Medium,,,G30ZI2VD,hzfmdiqeea
398,Fake Overflow A9,Se simula la explotación de un componente de red ficticio como parte de un conjunto de datos sintético.,Gamma,Dominant,Standard,Gamma,TRUE,Low,,,R5KM6Q0L,kjrtmrkkuw
725,Fake Overflow E6,Caso ficticio generado para evaluar un componente de red ficticio como parte de un conjunto de datos sintético.,Delta,Dominant,Standard,Delta,True,High,,,70TSO3CZ,zzpfuqaqwn
45,Generic Compromise E4,Caso ficticio generado para evaluar una dependencia simulada sin parches con fines exclusivamente de validación del modelo.,Delta,Dominant,Standard,Delta,False,Medium,,,3QTDQXGR,zxkfttxeva
829,Synthetic Exploit D4,Se simula la explotación de un mecanismo de autenticación simulado con fines exclusivamente de validación del modelo.,Gamma,Dominant,Standard,Gamma,TRUE,Medium,,,NHD4FSND,xcmlprbkkx
793,Synthetic Exploit A19,Este registro de prueba describe una condición de entrada no controlada sin relación con vulnerabilidades reales.,Alpha,Dominant,Standard,Alpha, False,Medium,,,TXWEH715,cdvablmdgv
699,Synthetic Exploit F1,Este registro de prueba describe un componente de red ficticio como parte de un conjunto de datos sintético.,Gamma,Dominant,Standard,Gamma, True,Medium,,,V3HM3OJV,plbteipxus
615,Dummy Breach F0,Se simula la explotación de un componente de red ficticio generado aleatoriamente para pruebas de entropía.,Beta,Dominant,Standard,Beta,false,Critical,,,UTJPUUH6,maxapoczcx
981,Placeholder Attack F16,Se simula la explotación de una condición de entrada no controlada como parte de un conjunto de datos sintético.,Gamma,Dominant,Standard,Gamma, True,Critical,,,LDZ8JOT3,qkuyesmjeb
1055,Synthetic Exploit E8,Se simula la explotación de una condición de entrada no controlada generado aleatoriamente para pruebas de entropía.,Beta,Rare3,Standard,Beta,False,Low,,,0HR1HRG1,rrthgudvkg
823,Demo Spoofing F19,Se simula la explotación de un mecanismo de autenticación simulado generado aleatoriamente para pruebas de entropía.,Alpha,Dominant,Standard,Alpha,False,,,,I3HQT3JS,mlhcuzspux
366,Test Escalation A16,Se simula la explotación de un mecanismo de autenticación simulado con fines exclusivamente de validación del modelo.,Alpha,Dominant,Standard,Alpha,TRUE,Medium,,,NPUCUM9I,pebiezspor
36,Placeholder Attack B15,Caso ficticio generado para evaluar un mecanismo de autenticación simulado con fines exclusivamente de validación del modelo.,Alpha,Dominant,Standard,Alpha,True ,Medium,Evento raro A,,B1WRMXFX,kstfoliamq
759,Fake Overflow B11,Este registro de prueba describe una dependencia simulada sin parches sin relación con vulnerabilidades reales.,Alpha,Dominant,Standard,Alpha,true,High,,,QKITWK85,mxibxoryxe
281,Mock Injection A8,El escenario sintético representa una condición de entrada no controlada como parte de un conjunto de datos sintético.,Alpha,Dominant,Standard,Alpha, True,High,,,8ECE25FZ,lbmqdhbkct
663,Synthetic Exploit E18,El escenario sintético representa una dependencia simulada sin parches con fines exclusivamente de validación del modelo.,Beta,Dominant,Standard,Beta,False,Low,,,QC2FAIGN,pnlqtopdil
455,Mock Injection D11,Este registro de prueba describe una configuración de prueba insegura generado aleatoriamente para pruebas de entropía.,Beta,Dominant,Variant_B,Beta,True,,,,7TYX2KN4,adyhaehfss
1021,Synthetic Exploit C13,Se simula la explotación de una condición de entrada no controlada con fines exclusivamente de validación del modelo.,Beta,Dominant,Standard,Beta,False ,,,,LTZSWYDU,alpkqiibur
1133,Placeholder Attack C4,El escenario sintético representa una dependencia simulada sin parches generado aleatoriamente para pruebas de entropía.,Alpha,Dominant,Standard,Alpha,true,High,,,6FHN4P4W,kictcjkjtr
740,Synthetic Exploit B16,Este registro de prueba describe una condición de entrada no controlada generado aleatoriamente para pruebas de entropía.,Alpha,Dominant,Variant_A,Alpha,true,Medium,,,I91CK1NX,juwbpsqrju
383,Demo Spoofing B0,El escenario sintético representa una configuración de prueba insegura sin relación con vulnerabilidades reales.,Delta,Dominant,Standard,Delta, False,Low,,,DNSEK42H,ijwjjfhzhb
942,Sample Bypass D13,Este registro de prueba describe una dependencia simulada sin parches como parte de un conjunto de datos sintético.,Gamma,Dominant,Standard,Gamma,True ,Low,,,MQSORF1R,ccrtcqivvq
706,Placeholder Attack C11,Este registro de prueba describe una configuración de prueba insegura como parte de un conjunto de datos sintético.,Delta,Dominant,Standard,Delta,TRUE,High,,,14IUQA7M,tfdkzlbreh
138,Synthetic Exploit F11,Caso ficticio generado para evaluar una configuración de prueba insegura como parte de un conjunto de datos sintético.,Delta,Dominant,Standard,Delta,True ,High,,,VTVGNE0G,ldnogowphg
723,Fake Overflow B9,Caso ficticio generado para evaluar un mecanismo de autenticación simulado como parte de un conjunto de datos sintético.,Beta,Dominant,Standard,Beta,False,,,,KBKTDA7V,agmionchwk
659,Mock Injection A5,Se simula la explotación de un mecanismo de autenticación simulado generado aleatoriamente para pruebas de entropía.,Alpha,Dominant,Standard,Alpha,False,Critical,,,ZCPZUFVZ,cuymemikrx
919,Fake Overflow D15,Este registro de prueba describe un componente de red ficticio con fines exclusivamente de validación del modelo.,Beta,Dominant,Standard,Beta,True,Medium,,,QMSGYNU0,anjrdxavlm
